EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
5328,1105,3410,1165,6394,24,0,1016.0,0,2449,3.44,1918,577,2474,2149,560,74673.0,53569.0,75469.0,69239.0,210,1780,369,2387,1557,823,7681,469,45,732,836,438,191,6.0,364,255,706,1557,802,4217,3690,43.5,2262,182,0,130,329,176,1167,0,0,20550791.0
2076,467,1310,438,2323,0,0,926.0,13,1028,2.95,848,317,1143,992,166,73473.0,61750.0,76200.0,66535.0,146,873,119,1143,482,260,2788,207,14,228,169,284,231,6.7,255,65,233,456,233,1609,1301,41.8,1038,0,0,55,130,12,585,0,0,9490601.0
823,255,433,121,981,0,0,769.0,0,407,3.18,336,43,466,135,0,20328.0,25417.0,14911.0,13432.0,0,95,40,466,99,81,1317,33,169,16,106,135,12,4.5,27,40,300,294,84,742,603,31.0,83,165,0,15,19,385,115,0,72,1087498.0
3158,959,2296,1456,3915,21,83,770.0,12,1621,3.98,1304,453,1940,501,144,42375.0,43750.0,29231.0,38491.0,204,383,118,1795,450,673,6040,77,307,796,393,158,148,5.1,172,108,859,634,208,3180,2873,26.5,547,373,0,30,142,1222,158,30,0,7229176.0
977,265,751,225,1479,24,0,698.0,0,516,5.7,231,204,574,158,37,28998.0,24776.0,48542.0,21610.0,66,95,63,459,30,182,1618,0,78,105,79,4,38,4.3,31,49,162,270,65,869,889,29.6,125,121,0,11,11,438,20,0,0,2083875.0
3830,983,2637,1076,4689,28,0,881.0,0,1945,3.5,1503,743,2038,1218,334,43363.0,29816.0,47031.0,36563.0,161,1007,211,2004,396,905,5918,0,113,529,672,392,128,5.8,175,138,640,917,390,3258,2760,37.4,1400,377,0,58,153,964,400,19,0,12318930.0
2873,804,2026,913,3420,49,0,814.0,47,1580,3.26,1177,321,1687,525,146,44790.0,41037.0,31504.0,29539.0,109,451,74,1647,412,413,4543,0,235,398,610,113,52,5.2,66,74,470,721,276,2655,1918,37.1,517,664,0,76,73,969,423,12,0,7989349.0
2873,804,2026,913,3420,49,0,814.0,47,1580,3.26,1177,321,1687,525,146,44790.0,41037.0,31504.0,29539.0,109,451,74,1647,412,413,4543,0,235,398,610,113,52,5.2,66,74,470,721,276,2655,1918,37.1,517,664,0,76,73,969,423,12,0,7989349.0
1236,395,940,549,1636,0,19,830.0,0,716,3.85,533,218,745,302,48,33848.0,22250.0,22292.0,20897.0,47,185,117,720,232,210,2343,0,86,205,311,109,24,5.6,46,101,281,355,48,1290,1053,27.6,319,182,0,22,39,662,100,0,7,3288923.0
2094,729,1654,715,2656,35,9,873.0,36,1071,3.49,902,396,1211,527,185,44955.0,48179.0,34398.0,31625.0,142,388,139,1204,224,405,3266,38,134,498,231,79,71,5.1,62,93,370,367,210,2113,1391,33.9,417,353,0,0,83,996,155,45,39,6445323.0
3407,895,2394,596,4309,67,47,927.0,27,1521,3.54,1226,727,1763,686,198,47839.0,32500.0,44151.0,36641.0,90,397,289,1729,488,475,5064,33,273,551,584,237,112,5.4,143,197,393,876,443,2834,2278,44.6,514,458,0,57,129,1690,123,33,54,9384828.0
1306,346,917,702,1594,37,0,998.0,0,647,4.21,587,117,674,408,9,57613.0,48790.0,47944.0,47823.0,64,325,83,622,247,239,2616,0,0,194,261,86,148,6.0,112,52,330,352,79,1341,1275,22.0,454,52,0,37,51,320,79,30,100,4313668.0
2511,645,1714,606,2804,81,0,995.0,17,1182,3.66,827,449,1223,678,54,45690.0,22563.0,34192.0,33979.0,138,435,243,1218,327,338,3593,72,73,348,236,235,103,5.8,58,164,550,503,165,2191,1457,38.0,872,120,0,52,85,904,88,0,0,6471282.0
2137,479,1736,856,2746,7,0,879.0,12,994,4.45,753,363,1066,571,47,36614.0,35651.0,42813.0,24219.0,41,390,181,995,268,298,3729,0,124,138,313,212,56,6.1,16,126,431,433,198,2228,1526,32.0,605,131,0,12,104,733,141,12,0,6388127.0
3751,805,2869,813,4244,34,12,798.0,61,1801,3.24,1360,871,2003,1517,236,57268.0,50078.0,60469.0,50290.0,125,836,681,1969,666,394,4992,62,175,410,589,392,83,5.7,163,477,687,512,373,3300,1868,40.2,1318,336,0,173,137,371,824,165,0,13591594.0
1026,375,706,295,1331,75,0,963.0,0,473,3.47,401,153,564,358,66,42116.0,50956.0,38083.0,27167.0,24,207,151,551,107,127,1595,0,49,148,175,54,26,5.2,49,127,139,245,129,871,769,37.7,379,65,0,11,50,293,131,0,0,3851114.0
1626,564,1049,306,1990,20,0,817.0,35,819,3.78,507,393,872,670,80,46174.0,39000.0,42818.0,36064.0,83,467,203,857,214,200,2390,0,53,239,150,154,95,6.1,134,108,185,377,173,1243,1147,43.5,604,31,0,0,58,420,133,0,20,5203416.0
1814,474,1492,559,2375,0,0,751.0,12,828,4.29,616,413,873,674,62,55504.0,26063.0,52583.0,43295.0,48,490,184,740,152,327,3069,0,0,304,282,92,125,5.9,52,117,322,618,66,1994,1085,32.8,744,0,0,0,87,418,126,0,0,6175685.0
1748,174,1124,1032,2160,19,23,863.0,0,863,4.35,758,119,926,270,107,37827.0,22532.0,34519.0,32885.0,36,209,61,782,150,212,2037,670,96,332,104,94,51,4.6,75,42,662,319,71,1953,1644,23.2,185,523,0,57,28,819,10,0,11,59624.0
1618,274,1206,711,2115,23,0,909.0,27,785,4.11,691,108,850,479,110,57191.0,33200.0,52656.0,42692.0,32,450,29,825,201,411,2779,271,20,217,125,117,146,5.4,145,29,484,295,197,1631,1437,29.0,473,202,0,57,137,298,183,23,51,5855795.0
2271,518,1649,646,2961,69,9,943.0,0,1406,3.31,1005,238,1438,643,123,41502.0,32372.0,37201.0,31296.0,103,584,59,1334,308,630,3538,27,116,736,261,178,40,5.0,252,51,534,522,264,2303,1627,29.6,217,518,0,227,93,921,315,52,69,7953499.0
4232,1368,2826,1026,5313,21,0,883.0,0,1783,4.03,1380,420,1896,943,130,63418.0,45264.0,54244.0,52565.0,161,895,48,1783,652,820,6178,453,146,838,429,135,103,5.2,417,35,844,1374,387,3238,3342,36.3,463,464,0,371,299,1136,327,0,62,12433946.0
5101,1305,3153,926,5780,11,0,923.0,0,2392,3.05,2002,724,2772,2275,413,79932.0,51771.0,82553.0,65486.0,289,1730,545,2763,1646,912,6165,4102,175,630,515,382,219,5.8,1037,440,1129,1119,769,3739,3568,37.6,1708,241,0,1107,437,909,579,103,32,21831016.0
2897,917,2209,768,3894,71,0,920.0,11,1332,3.85,1140,344,1437,919,143,52425.0,26577.0,50145.0,49411.0,42,760,159,1354,466,508,4690,207,85,251,361,189,180,6.1,259,125,517,842,281,2807,2114,32.9,860,179,10,153,188,839,197,0,12,9275349.0
3718,787,2666,1307,4595,112,13,892.0,13,1996,3.48,1475,442,2109,754,175,42287.0,43162.0,34291.0,31263.0,224,530,224,2074,291,765,6017,25,138,681,667,129,136,5.4,194,224,738,894,453,3399,2739,34.0,503,692,0,65,148,1127,325,14,0,11225229.0
1430,173,1068,474,1768,0,19,856.0,0,816,3.27,607,253,816,457,55,50598.0,31822.0,44238.0,39079.0,53,378,79,760,103,377,2168,138,68,269,253,46,89,5.4,117,62,284,285,169,1359,951,30.7,388,114,0,84,71,502,213,0,0,4936341.0
693,217,559,249,858,34,30,828.0,15,338,4.3,221,68,366,146,21,31357.0,21472.0,30609.0,18173.0,9,123,23,334,129,66,1132,46,63,76,128,0,43,4.8,41,19,217,154,48,761,429,26.7,127,56,0,19,4,311,65,0,0,1716092.0
2903,610,1826,918,3460,38,47,914.0,9,1557,3.63,1109,574,1648,644,131,38111.0,34611.0,40913.0,29429.0,51,490,154,1633,342,368,4548,279,109,572,607,245,43,5.5,107,128,462,443,206,2323,2347,36.5,400,415,0,162,39,1081,168,0,0,6757389.0
2308,574,1639,582,2938,22,0,914.0,10,1084,3.77,912,336,1123,733,102,45865.0,28558.0,38929.0,37917.0,102,552,181,1033,281,410,3713,251,63,158,426,214,84,5.9,94,148,469,404,237,2042,1697,34.8,667,268,0,116,134,702,284,0,0,8586703.0
3016,602,2341,1075,3811,32,0,933.0,0,1623,3.56,1305,374,1668,655,155,39621.0,32353.0,33442.0,31828.0,112,514,141,1533,265,586,5161,35,50,735,500,111,138,5.3,181,93,609,666,411,3045,2159,31.5,489,490,0,101,15,1363,209,0,0,9420026.0
2815,553,1914,487,3333,18,107,766.0,19,1491,3.12,1022,518,1658,459,199,47939.0,44944.0,47857.0,33431.0,147,319,140,1583,474,505,4098,249,480,252,353,98,90,4.3,124,130,538,463,275,2208,1953,37.6,303,422,0,86,47,1060,96,0,0,6749140.0
2372,484,1922,1139,3015,80,0,835.0,30,1178,3.99,899,247,1372,514,70,37262.0,25735.0,34934.0,28194.0,100,388,126,1223,191,567,4595,118,176,229,382,166,65,5.3,123,114,781,550,190,2604,2001,25.9,386,249,0,125,46,965,196,0,47,6141256.0
2015,399,1403,649,2472,25,19,969.0,20,1041,3.63,808,311,1098,445,69,34282.0,39597.0,35321.0,28150.0,16,311,134,1051,133,173,3270,0,42,511,473,59,54,5.3,67,109,458,462,201,1837,1492,33.0,375,274,0,49,69,711,311,24,0,6794924.0
914,90,645,186,1106,11,0,931.0,0,447,3.97,298,152,458,230,38,38473.0,30000.0,33750.0,22423.0,0,182,48,426,139,166,1357,10,25,162,126,61,0,5.6,94,48,142,278,89,832,622,35.9,180,119,0,27,41,360,42,18,0,2093276.0
2957,505,2394,1401,3782,43,15,928.0,0,1633,3.87,1282,330,1734,361,169,33610.0,26612.0,28476.0,25875.0,134,203,158,1571,224,592,5618,45,106,846,630,155,8,5.2,73,107,767,616,344,3406,2212,25.7,121,610,0,55,46,1118,171,0,20,7659099.0
3185,561,2104,1036,3905,24,49,786.0,31,1701,3.45,1267,394,1855,412,95,29134.0,38239.0,19583.0,18818.0,73,261,151,1718,255,589,5316,84,346,499,517,138,96,4.6,104,104,798,877,152,2897,2472,32.3,401,467,0,0,103,1225,349,0,0,7534722.0
3404,857,2420,671,4161,56,123,700.0,14,1686,3.6,1091,440,2245,322,120,36098.0,37303.0,31827.0,30031.0,152,224,98,2057,585,669,5287,66,423,556,386,60,57,4.2,110,69,952,911,275,3175,2186,33.3,163,537,0,72,50,1080,133,61,54,6670434.0
1150,222,783,256,1316,0,43,690.0,0,621,3.18,383,184,671,107,0,59099.0,36979.0,29701.0,29357.0,16,107,0,633,170,89,1539,197,114,68,203,11,11,4.4,73,0,196,114,121,1024,549,42.2,74,145,0,33,45,417,137,0,0,3397637.0
1150,222,783,256,1316,0,43,690.0,0,621,3.18,383,184,671,107,0,59099.0,36979.0,29701.0,29357.0,16,107,0,633,170,89,1539,197,114,68,203,11,11,4.4,73,0,196,114,121,1024,549,42.2,74,145,0,33,45,417,137,0,0,3397637.0
4261,762,3103,1367,5345,66,28,935.0,11,2076,3.82,1719,879,2210,841,257,36486.0,32041.0,28149.0,24167.0,143,409,432,2016,423,487,7241,0,178,795,809,254,113,5.5,97,347,1045,754,450,4029,3212,30.3,425,657,0,194,123,1217,287,26,0,13287569.0
2094,449,1401,239,2546,0,0,871.0,0,882,3.15,647,269,938,335,113,34884.0,21058.0,19596.0,22738.0,39,269,66,927,138,247,2971,159,55,292,235,58,40,4.8,30,14,331,433,277,1615,1373,44.1,156,279,0,59,24,494,251,0,0,5419861.0
2487,506,1664,962,3126,37,108,863.0,0,1392,3.43,1093,389,1527,390,73,39292.0,42647.0,43661.0,29523.0,143,260,130,1408,258,539,4318,42,130,605,628,142,57,5.3,116,97,814,587,117,2058,2272,28.9,271,299,0,103,36,1017,294,50,0,7076434.0
837,79,436,158,969,0,0,779.0,0,377,3.08,368,180,394,296,31,38981.0,22969.0,26579.0,38247.0,25,288,8,353,106,87,1019,208,23,86,98,43,13,4.9,133,8,191,127,82,633,649,38.3,245,41,0,35,46,109,110,0,27,2783970.0
837,79,436,158,969,0,0,779.0,0,377,3.08,368,180,394,296,31,38981.0,22969.0,26579.0,38247.0,25,288,8,353,106,87,1019,208,23,86,98,43,13,4.9,133,8,191,127,82,633,649,38.3,245,41,0,35,46,109,110,0,27,2783970.0
2287,447,1250,398,2568,34,53,723.0,0,964,3.21,623,260,1062,282,40,37329.0,40417.0,27563.0,23204.0,60,231,51,1050,289,229,2898,631,110,504,55,101,28,4.9,9,46,453,522,138,1464,1754,38.1,280,351,0,77,65,560,183,7,0,10823908.0
2287,447,1250,398,2568,34,53,723.0,0,964,3.21,623,260,1062,282,40,37329.0,40417.0,27563.0,23204.0,60,231,51,1050,289,229,2898,631,110,504,55,101,28,4.9,9,46,453,522,138,1464,1754,38.1,280,351,0,77,65,560,183,7,0,10823908.0
