EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
1170,200,765,304,1418,85,0,698.0,0,736,3.39,413,64,756,310,42,63634.0,30069.0,57240.0,56875.0,42,222,88,726,526,192,1652,1207,0,67,257,115,42,5.7,174,67,473,208,51,955,985,27.6,178,234,13,107,42,729,23,0,0,2531054.0
3700,473,2187,466,4340,97,65,779.0,35,2256,2.81,1022,330,2368,782,185,56809.0,31493.0,49833.0,37312.0,257,655,127,2236,1379,649,3853,2910,399,574,515,208,102,4.7,400,115,1613,698,197,2603,2508,31.5,456,375,37,349,84,2144,168,0,31,9820214.0
2360,372,1398,476,2935,24,0,852.0,0,1195,3.89,807,225,1195,415,145,50755.0,32031.0,36435.0,40557.0,121,326,89,1099,298,595,2442,2495,61,458,349,35,23,5.1,230,60,742,301,194,1865,1926,32.4,173,484,0,233,194,1119,124,0,0,4905648.0
2445,324,1474,495,2728,0,0,925.0,4,1293,3.3,784,223,1323,532,138,49437.0,34683.0,49430.0,43116.0,81,343,189,1307,375,450,2362,2344,38,396,527,46,104,5.3,164,189,508,645,276,1959,1477,38.4,148,512,0,258,51,1309,54,0,26,10494051.0
2445,324,1474,495,2728,0,0,925.0,4,1293,3.3,784,223,1323,532,138,49437.0,34683.0,49430.0,43116.0,81,343,189,1307,375,450,2362,2344,38,396,527,46,104,5.3,164,189,508,645,276,1959,1477,38.4,148,512,0,258,51,1309,54,0,26,10494051.0
1845,296,1183,606,2193,19,0,852.0,0,904,3.82,643,169,1035,321,162,47015.0,30031.0,50509.0,42083.0,89,233,88,998,313,279,2119,1641,136,313,352,82,42,5.2,121,88,526,395,177,1510,1410,33.8,196,472,17,164,47,995,15,0,0,3016141.0
1572,204,1200,681,2230,54,0,881.0,0,946,3.87,641,90,959,302,75,49100.0,30518.0,32199.0,33925.0,174,226,76,942,240,442,2189,1472,57,345,369,75,6,5.3,91,76,616,310,93,1667,1507,24.8,184,483,0,192,177,993,8,0,0,1662628.0
1731,298,1276,612,2360,49,0,948.0,0,993,3.87,596,90,1002,430,101,43934.0,26368.0,34375.0,37069.0,83,376,54,969,352,306,2254,1785,17,334,408,101,0,5.4,161,38,629,263,97,1629,1392,27.7,131,324,11,157,69,867,99,13,0,1619912.0
3906,561,2198,594,4693,132,23,899.0,8,2003,3.7,916,239,2069,541,224,48057.0,31685.0,34167.0,40158.0,112,371,170,2000,1039,711,4811,3289,155,492,534,139,64,5.0,97,152,1071,706,200,2768,2902,35.0,183,607,12,290,74,1707,64,61,0,1801245.0
1521,234,865,209,1793,87,0,998.0,21,856,3.01,476,90,953,485,119,71079.0,56250.0,60769.0,55066.0,241,422,63,949,622,293,1776,1287,140,480,149,103,18,4.9,243,55,690,205,139,1015,1109,32.1,123,206,0,143,58,815,87,51,85,1603673.0
2057,364,1189,291,2335,20,47,806.0,36,1115,3.07,616,115,1239,286,79,58893.0,41389.0,39900.0,38737.0,182,249,37,1122,652,361,2166,1766,212,392,150,48,37,4.5,193,33,1041,295,116,1460,1375,30.7,170,384,9,178,34,1036,92,18,80,3623882.0
2057,364,1189,291,2335,20,47,806.0,36,1115,3.07,616,115,1239,286,79,58893.0,41389.0,39900.0,38737.0,182,249,37,1122,652,361,2166,1766,212,392,150,48,37,4.5,193,33,1041,295,116,1460,1375,30.7,170,384,9,178,34,1036,92,18,80,3623882.0
1869,303,927,400,2286,10,0,1064.0,9,1031,3.8,585,101,1098,292,80,49494.0,31286.0,33299.0,39625.0,103,213,79,1048,394,399,1671,1858,69,468,313,26,57,5.1,129,71,843,268,138,1182,1746,29.0,142,417,10,154,35,829,57,137,45,1810438.0
2355,539,1286,241,2777,64,71,821.0,0,1243,3.48,475,288,1428,348,224,52893.0,39931.0,66683.0,40000.0,97,231,117,1428,495,532,2382,2191,231,372,226,55,34,4.4,135,117,927,329,152,1442,1594,33.2,144,317,0,207,100,972,36,19,65,488325.0
2009,237,1275,114,2398,109,0,1131.0,9,1313,2.87,566,92,1391,596,107,86303.0,50294.0,99605.0,60306.0,144,425,171,1391,1101,464,2335,2123,199,295,217,70,78,4.4,346,148,920,308,49,1348,1344,31.2,224,555,44,166,124,1080,55,49,39,6990128.0
1396,64,811,159,1596,162,0,1187.0,0,909,2.75,408,88,927,488,68,142725.0,92708.0,161280.0,91563.0,167,437,51,927,927,264,1739,1603,154,221,180,56,130,5.0,408,35,816,177,34,950,976,29.0,278,216,26,127,17,435,0,151,80,5223893.0
996,230,653,211,1226,23,0,992.0,17,507,3.54,370,8,540,237,73,51206.0,28688.0,34250.0,37273.0,40,186,51,466,150,239,1137,1005,21,147,208,8,53,5.2,145,51,340,175,104,823,734,28.8,71,105,0,190,17,551,17,19,0,5053327.0
1104,291,764,80,1341,8,5,774.0,0,629,2.81,304,29,717,170,8,41303.0,31979.0,37431.0,35174.0,57,118,52,711,275,269,1321,985,97,157,154,62,8,4.6,52,27,540,216,61,833,700,29.7,79,164,0,81,95,594,8,8,90,819622.0
1959,329,1103,397,2327,7,10,882.0,23,715,4.19,604,93,790,387,78,55272.0,26398.0,40988.0,43000.0,74,315,72,699,217,349,2255,1286,64,258,274,26,30,5.2,99,56,817,388,91,1497,1530,30.4,147,371,0,177,85,517,45,162,58,2118740.0
550,28,436,136,614,7,0,735.0,8,298,2.66,182,32,341,21,0,23686.0,17539.0,16010.0,17091.0,16,21,0,335,16,69,568,355,145,107,37,0,0,4.0,21,0,125,110,20,485,259,35.6,7,144,0,15,0,328,0,8,7,847691.0
850,62,504,525,1116,0,0,833.0,0,347,5.45,264,33,347,197,0,44980.0,30875.0,39055.0,38216.0,0,197,0,296,89,203,1112,1084,19,120,106,0,8,5.1,121,0,155,305,48,673,912,29.5,93,92,0,90,37,378,0,7,5,468991.0
2090,286,1158,310,2325,66,0,1068.0,9,1159,2.99,641,132,1244,551,98,80843.0,64650.0,67250.0,68611.0,182,440,111,1220,591,643,2283,2001,190,353,281,25,85,4.9,349,102,1016,362,42,1452,1402,32.1,230,291,18,221,42,846,48,229,62,6632309.0
2090,286,1158,310,2325,66,0,1068.0,9,1159,2.99,641,132,1244,551,98,80843.0,64650.0,67250.0,68611.0,182,440,111,1220,591,643,2283,2001,190,353,281,25,85,4.9,349,102,1016,362,42,1452,1402,32.1,230,291,18,221,42,846,48,229,62,6632309.0
1857,82,947,109,1979,153,22,1295.0,16,1035,2.54,497,19,1156,685,139,141765.0,99500.0,137625.0,108858.0,344,620,65,1156,1035,428,1937,1733,144,169,190,70,104,4.5,504,56,1004,262,32,1097,1145,31.4,281,311,110,305,47,613,48,101,97,3320854.0
1857,82,947,109,1979,153,22,1295.0,16,1035,2.54,497,19,1156,685,139,141765.0,99500.0,137625.0,108858.0,344,620,65,1156,1035,428,1937,1733,144,169,190,70,104,4.5,504,56,1004,262,32,1097,1145,31.4,281,311,110,305,47,613,48,101,97,3320854.0
2500,429,1338,81,2797,155,0,1084.0,8,1427,2.95,593,117,1561,620,193,110008.0,52338.0,108594.0,77366.0,404,469,151,1561,1303,557,2594,2772,156,494,117,129,93,4.6,427,143,1237,235,109,1484,1653,31.9,356,605,56,201,103,1045,102,68,94,8075873.0
2500,429,1338,81,2797,155,0,1084.0,8,1427,2.95,593,117,1561,620,193,110008.0,52338.0,108594.0,77366.0,404,469,151,1561,1303,557,2594,2772,156,494,117,129,93,4.6,427,143,1237,235,109,1484,1653,31.9,356,605,56,201,103,1045,102,68,94,8075873.0
1615,160,906,153,1911,112,0,1106.0,0,948,3.45,391,70,1003,423,131,104933.0,70139.0,125813.0,82422.0,327,321,102,963,903,309,1930,2133,127,184,171,46,32,4.5,286,91,925,158,115,1112,1204,28.8,166,363,88,160,26,733,0,95,120,5339035.0
1615,160,906,153,1911,112,0,1106.0,0,948,3.45,391,70,1003,423,131,104933.0,70139.0,125813.0,82422.0,327,321,102,963,903,309,1930,2133,127,184,171,46,32,4.5,286,91,925,158,115,1112,1204,28.8,166,363,88,160,26,733,0,95,120,5339035.0
2414,320,1549,568,3088,134,0,1117.0,0,1225,4.14,649,100,1267,592,110,88207.0,60279.0,51083.0,63305.0,373,522,70,1208,887,629,3023,2413,253,285,343,97,75,5.2,356,70,1038,319,201,1920,1911,28.4,148,400,0,396,87,884,26,252,72,2359505.0
2414,320,1549,568,3088,134,0,1117.0,0,1225,4.14,649,100,1267,592,110,88207.0,60279.0,51083.0,63305.0,373,522,70,1208,887,629,3023,2413,253,285,343,97,75,5.2,356,70,1038,319,201,1920,1911,28.4,148,400,0,396,87,884,26,252,72,2359505.0
6574,634,3802,133,7229,1797,34,1822.0,46,1179,2.29,1832,878,4735,2203,403,136336.0,100228.0,126176.0,97188.0,1109,1488,715,4643,3485,1018,5903,5627,1834,742,282,87,28,3.3,1250,715,2508,918,638,3957,3684,37.3,30,43,129,719,62,219,145,1304,932,216632522.0
355,54,321,0,558,48,0,1786.0,0,148,2.0,105,50,220,148,60,101573.0,85703.0,103125.0,78452.0,33,113,35,220,168,35,423,377,188,11,80,0,7,3.4,78,35,87,64,34,321,237,33.4,19,6,0,29,0,186,41,55,0,39714674.0
2546,312,1687,44,3174,392,48,1393.0,11,1151,2.2,666,143,2089,993,296,114089.0,87404.0,173864.0,76857.0,442,891,102,2089,1342,681,2415,2026,932,173,0,73,15,3.2,551,102,1231,511,285,1804,1529,31.7,41,17,29,430,0,655,112,533,290,23337254.0
2546,312,1687,44,3174,392,48,1393.0,11,1151,2.2,666,143,2089,993,296,114089.0,87404.0,173864.0,76857.0,442,891,102,2089,1342,681,2415,2026,932,173,0,73,15,3.2,551,102,1231,511,285,1804,1529,31.7,41,17,29,430,0,655,112,533,290,23337254.0
4059,228,2727,68,5165,470,28,1406.0,13,906,2.42,933,436,2933,1761,272,90308.0,66589.0,121950.0,64509.0,435,1447,314,2902,2385,679,4728,3730,1087,430,271,108,12,3.4,851,266,1439,544,262,2976,2523,33.7,0,34,0,687,27,1100,113,200,346,42362563.0
2171,309,1157,0,2828,358,0,1419.0,0,638,2.36,369,97,1487,637,191,107575.0,80417.0,172933.0,75457.0,330,586,51,1376,1269,340,2350,1937,628,139,65,0,25,3.1,394,51,900,436,144,1222,1740,31.8,8,0,0,293,9,1027,182,159,95,44358198.0
2171,309,1157,0,2828,358,0,1419.0,0,638,2.36,369,97,1487,637,191,107575.0,80417.0,172933.0,75457.0,330,586,51,1376,1269,340,2350,1937,628,139,65,0,25,3.1,394,51,900,436,144,1222,1740,31.8,8,0,0,293,9,1027,182,159,95,44358198.0
2171,309,1157,0,2828,358,0,1419.0,0,638,2.36,369,97,1487,637,191,107575.0,80417.0,172933.0,75457.0,330,586,51,1376,1269,340,2350,1937,628,139,65,0,25,3.1,394,51,900,436,144,1222,1740,31.8,8,0,0,293,9,1027,182,159,95,44358198.0
888,68,589,169,1202,0,0,964.0,15,551,3.34,287,62,600,211,101,74458.0,46386.0,75318.0,57292.0,28,161,50,521,348,195,1019,617,39,250,114,52,0,4.8,97,13,389,90,106,687,752,29.7,76,205,0,64,77,515,62,37,47,373259.0
888,68,589,169,1202,0,0,964.0,15,551,3.34,287,62,600,211,101,74458.0,46386.0,75318.0,57292.0,28,161,50,521,348,195,1019,617,39,250,114,52,0,4.8,97,13,389,90,106,687,752,29.7,76,205,0,64,77,515,62,37,47,373259.0
1136,127,661,62,1294,83,0,1106.0,0,614,2.82,370,115,632,190,132,68009.0,39245.0,72500.0,55313.0,69,79,111,606,511,247,1142,698,75,221,105,30,25,4.6,26,84,460,171,86,730,731,33.8,60,234,0,67,57,476,26,47,77,2613068.0
910,89,471,217,1099,26,0,693.0,0,513,3.51,293,109,526,225,26,34643.0,19750.0,30368.0,28232.0,76,132,93,500,175,112,895,610,50,68,158,16,0,4.3,76,52,232,75,79,601,748,35.1,85,236,17,93,26,358,34,69,58,1712265.0
852,63,531,262,1196,0,0,713.0,0,494,4.02,330,78,494,146,10,37313.0,24340.0,23286.0,19583.0,24,70,76,444,70,105,733,600,121,121,69,20,0,4.2,10,66,176,84,70,799,847,26.4,103,191,0,59,93,523,11,0,0,3395407.0
3072,438,1873,735,3811,32,57,622.0,24,1887,3.83,840,402,1977,397,157,35983.0,26414.0,38320.0,28410.0,21,215,182,1807,739,330,2929,1762,555,345,166,106,128,4.0,154,118,1033,412,149,2328,2537,29.9,243,764,0,186,156,1961,81,177,23,8818529.0
1284,46,552,272,1530,0,0,649.0,0,544,3.72,348,119,565,120,28,29625.0,24946.0,25484.0,18917.0,0,58,62,502,181,159,1113,1073,92,203,86,0,21,4.2,28,54,438,159,82,679,1185,32.9,38,298,0,25,0,566,76,33,0,2221521.0
3029,278,1722,526,3658,10,0,748.0,11,1313,3.97,917,279,1421,512,114,43293.0,21807.0,36763.0,37446.0,27,217,295,1277,383,421,2309,1941,193,249,288,119,34,4.4,22,209,1134,211,224,2235,2463,29.5,121,642,0,229,106,1393,90,0,0,7941635.0
2890,279,1562,1097,3763,14,20,743.0,0,1592,3.87,1165,201,1651,467,70,41458.0,27358.0,31094.0,32813.0,66,308,159,1398,327,433,2922,2038,220,512,210,77,84,4.4,145,119,980,463,193,2446,2917,27.2,257,680,0,178,96,1606,61,44,0,8644643.0
2814,360,1617,879,3641,25,10,687.0,0,1464,3.9,1043,301,1489,510,98,42769.0,27131.0,36607.0,35478.0,136,360,150,1314,426,483,2970,2411,177,377,214,61,153,4.3,207,121,866,472,105,2278,2668,27.6,206,806,0,140,114,1640,96,15,17,7744176.0
2814,360,1617,879,3641,25,10,687.0,0,1464,3.9,1043,301,1489,510,98,42769.0,27131.0,36607.0,35478.0,136,360,150,1314,426,483,2970,2411,177,377,214,61,153,4.3,207,121,866,472,105,2278,2668,27.6,206,806,0,140,114,1640,96,15,17,7744176.0
2863,272,1772,859,3637,0,40,734.0,0,1505,4.06,1038,194,1567,525,114,42285.0,27155.0,34837.0,33927.0,137,372,153,1369,388,455,2999,1607,99,496,244,60,11,4.5,157,133,852,604,215,2651,2446,28.8,228,707,0,178,112,1468,145,41,40,2058318.0
2863,272,1772,859,3637,0,40,734.0,0,1505,4.06,1038,194,1567,525,114,42285.0,27155.0,34837.0,33927.0,137,372,153,1369,388,455,2999,1607,99,496,244,60,11,4.5,157,133,852,604,215,2651,2446,28.8,228,707,0,178,112,1468,145,41,40,2058318.0
1726,301,899,497,2123,28,0,862.0,8,928,3.65,614,139,945,289,120,46020.0,26587.0,42222.0,40133.0,71,166,123,890,291,205,1597,947,20,308,272,52,20,5.0,37,86,628,223,82,1235,1545,30.0,191,305,0,51,78,874,65,0,0,25996842.0
1726,301,899,497,2123,28,0,862.0,8,928,3.65,614,139,945,289,120,46020.0,26587.0,42222.0,40133.0,71,166,123,890,291,205,1597,947,20,308,272,52,20,5.0,37,86,628,223,82,1235,1545,30.0,191,305,0,51,78,874,65,0,0,25996842.0
1726,301,899,497,2123,28,0,862.0,8,928,3.65,614,139,945,289,120,46020.0,26587.0,42222.0,40133.0,71,166,123,890,291,205,1597,947,20,308,272,52,20,5.0,37,86,628,223,82,1235,1545,30.0,191,305,0,51,78,874,65,0,0,25996842.0
3029,278,1722,526,3658,10,0,748.0,11,1313,3.97,917,279,1421,512,114,43293.0,21807.0,36763.0,37446.0,27,217,295,1277,383,421,2309,1941,193,249,288,119,34,4.4,22,209,1134,211,224,2235,2463,29.5,121,642,0,229,106,1393,90,0,0,406888.0
1287,321,597,235,1432,0,0,744.0,0,634,3.73,440,91,634,334,125,58019.0,27824.0,55703.0,52344.0,32,243,91,572,244,127,1098,911,62,40,206,71,26,5.5,98,83,424,223,113,789,1106,34.5,138,76,0,149,18,561,8,18,38,2627931.0
2381,488,1373,650,2812,20,0,823.0,0,1193,3.63,921,227,1193,657,161,53860.0,43466.0,52679.0,41932.0,109,481,176,1123,465,349,2763,1916,20,397,337,86,24,5.1,141,128,602,580,256,1782,1947,32.3,332,372,0,120,114,946,217,0,0,5063538.0
1702,303,949,393,2024,0,0,773.0,0,915,3.2,723,123,950,509,108,51038.0,25238.0,45129.0,39500.0,86,366,143,887,319,373,1913,1192,64,399,215,65,36,5.0,217,101,583,518,109,1180,1486,28.5,369,313,0,217,76,785,44,9,91,4239795.0
2580,144,1478,619,2941,0,0,794.0,0,1121,4.09,884,200,1129,680,194,49416.0,35791.0,49207.0,43233.0,66,516,164,1030,206,341,2382,1657,81,329,242,146,27,5.1,175,135,718,558,168,2191,1894,31.6,475,202,0,151,127,535,83,104,0,6671190.0
2580,144,1478,619,2941,0,0,794.0,0,1121,4.09,884,200,1129,680,194,49416.0,35791.0,49207.0,43233.0,66,516,164,1030,206,341,2382,1657,81,329,242,146,27,5.1,175,135,718,558,168,2191,1894,31.6,475,202,0,151,127,535,83,104,0,6671190.0
2185,235,1442,427,2878,0,0,983.0,7,1012,3.67,739,297,1112,755,126,50455.0,38068.0,46607.0,37540.0,104,455,300,1061,347,369,1933,1156,48,378,336,62,51,5.3,134,227,418,610,145,1591,1660,40.5,537,109,8,232,96,833,33,35,41,6113894.0
2185,235,1442,427,2878,0,0,983.0,7,1012,3.67,739,297,1112,755,126,50455.0,38068.0,46607.0,37540.0,104,455,300,1061,347,369,1933,1156,48,378,336,62,51,5.3,134,227,418,610,145,1591,1660,40.5,537,109,8,232,96,833,33,35,41,6113894.0
4424,842,2618,804,4974,39,0,1024.0,0,2086,3.46,1585,576,2091,1595,320,64296.0,38432.0,61020.0,58425.0,234,1039,556,1947,732,961,3975,4597,149,499,393,294,113,5.3,643,491,1488,868,468,3289,2934,33.7,1452,137,16,693,430,910,418,177,37,12617473.0
2676,514,1374,565,3097,54,29,939.0,0,1154,4.0,864,209,1237,750,242,64014.0,36157.0,65938.0,58750.0,78,563,187,1149,324,483,2442,1683,102,460,189,109,47,5.1,263,152,724,661,243,1894,2201,33.9,623,220,0,281,120,232,273,68,51,237690.0
2676,514,1374,565,3097,54,29,939.0,0,1154,4.0,864,209,1237,750,242,64014.0,36157.0,65938.0,58750.0,78,563,187,1149,324,483,2442,1683,102,460,189,109,47,5.1,263,152,724,661,243,1894,2201,33.9,623,220,0,281,120,232,273,68,51,237690.0
4412,785,2961,1118,5571,24,12,802.0,3,1957,3.68,1483,716,2345,1175,281,55665.0,37917.0,56725.0,39410.0,233,896,279,2230,491,1052,4667,3611,445,437,509,256,155,5.0,567,257,949,914,466,3492,3356,35.6,1042,216,11,518,483,1051,422,410,71,13376250.0
4412,785,2961,1118,5571,24,12,802.0,3,1957,3.68,1483,716,2345,1175,281,55665.0,37917.0,56725.0,39410.0,233,896,279,2230,491,1052,4667,3611,445,437,509,256,155,5.0,567,257,949,914,466,3492,3356,35.6,1042,216,11,518,483,1051,422,410,71,13376250.0
2861,911,2072,661,3402,45,23,914.0,16,1491,3.46,1104,683,1528,1026,275,50291.0,48403.0,42201.0,36563.0,127,710,316,1477,348,478,4314,204,23,347,569,330,105,6.1,7,204,450,666,208,2666,1694,39.5,1407,31,29,0,114,265,428,29,0,10473199.0
1844,471,1139,473,2074,0,8,850.0,43,991,3.05,681,214,1113,816,39,85413.0,58750.0,102917.0,61225.0,116,650,166,1113,611,172,2561,985,129,269,307,291,146,6.0,341,158,289,330,353,1544,1072,39.0,850,32,17,299,111,706,212,41,0,11316812.0
1590,439,953,579,1906,0,0,933.0,8,844,3.52,662,165,903,759,162,93381.0,64622.0,98649.0,85043.0,170,602,157,903,567,289,2546,2156,61,165,267,147,125,6.0,147,98,252,463,171,1292,1360,35.4,676,72,9,261,192,149,419,8,0,7927051.0
2085,439,1199,502,2421,12,0,845.0,0,1109,3.48,727,225,1153,1015,247,85019.0,61050.0,98036.0,80691.0,55,836,179,1153,614,371,3059,2410,22,237,409,225,50,5.9,148,130,450,446,269,1447,1712,35.5,1007,43,0,145,158,111,678,0,0,10172335.0
3584,930,2444,853,4152,116,45,917.0,0,1854,3.19,1199,715,1926,1340,229,62509.0,51292.0,57721.0,45000.0,122,833,507,1926,739,514,4643,1115,112,574,591,357,160,5.9,275,433,355,931,271,2832,2118,45.6,1455,113,0,268,127,979,351,105,68,16818979.0
2739,618,1721,592,3138,40,0,1070.0,18,1340,3.56,944,509,1381,1082,194,54605.0,35125.0,57232.0,36597.0,97,708,374,1370,454,521,3926,41,22,476,550,245,121,5.9,31,229,644,498,322,2179,1798,37.0,1396,82,0,0,226,363,491,15,11,10009002.0
2038,506,1041,437,2219,33,0,821.0,13,1108,3.14,703,251,1193,999,161,88918.0,62841.0,91250.0,70353.0,149,748,251,1193,535,375,2835,2740,80,433,297,114,121,5.5,255,213,503,429,173,1348,1511,36.3,1124,10,21,179,256,298,421,51,22,11603706.0
2038,506,1041,437,2219,33,0,821.0,13,1108,3.14,703,251,1193,999,161,88918.0,62841.0,91250.0,70353.0,149,748,251,1193,535,375,2835,2740,80,433,297,114,121,5.5,255,213,503,429,173,1348,1511,36.3,1124,10,21,179,256,298,421,51,22,11603706.0
2988,752,1704,815,3521,11,0,851.0,50,1633,3.43,1171,401,1734,1641,382,93120.0,69759.0,92159.0,80929.0,88,1173,468,1724,732,462,4499,4586,72,543,549,177,194,5.7,365,330,575,684,219,2203,2436,35.6,1586,28,10,398,316,190,728,97,42,16111614.0
3015,938,1804,875,3526,6,0,850.0,19,1718,3.47,1108,347,1772,1267,444,83368.0,68614.0,87375.0,74875.0,130,959,308,1750,731,492,4498,3526,153,490,386,282,172,5.5,265,224,477,985,264,2351,2248,38.5,1361,10,0,287,270,265,759,14,26,13830915.0
3015,938,1804,875,3526,6,0,850.0,19,1718,3.47,1108,347,1772,1267,444,83368.0,68614.0,87375.0,74875.0,130,959,308,1750,731,492,4498,3526,153,490,386,282,172,5.5,265,224,477,985,264,2351,2248,38.5,1361,10,0,287,270,265,759,14,26,13830915.0
5034,559,3255,198,5416,368,0,1362.0,28,1318,2.27,1371,1252,3760,2222,402,168639.0,100930.0,179313.0,78973.0,818,1134,1088,3708,2459,840,4923,5230,1483,610,409,274,40,3.6,899,1088,945,781,418,3481,2251,53.0,53,37,704,519,91,1249,812,14,14,54680315.0
3128,344,1837,136,3305,184,0,1171.0,33,1157,2.61,589,725,2430,1653,307,111970.0,89261.0,158307.0,76822.0,386,1187,466,2377,1595,604,2997,3115,839,342,200,10,53,3.1,690,452,737,587,279,1968,1538,49.4,75,59,132,311,61,267,169,18,48,17289053.0
2793,420,1604,80,2951,83,0,1216.0,21,1262,2.23,553,421,2174,1497,331,145632.0,97357.0,187409.0,83382.0,598,880,617,2138,1499,661,2725,2672,831,264,84,134,46,3.3,505,617,793,372,249,1641,1399,40.3,2,124,157,244,0,467,109,54,2,19865544.0
3669,318,1971,133,3921,386,12,1379.0,31,1827,2.38,734,267,2534,1490,453,129523.0,80922.0,138802.0,89188.0,561,1333,157,2523,2185,749,3648,3487,586,299,338,75,104,3.5,923,157,1621,452,92,2029,2152,34.5,107,296,117,607,26,655,165,586,67,21989531.0
2805,573,1899,835,3352,151,219,375.0,8,1416,2.76,1220,196,2006,548,106,67399.0,90588.0,19942.0,18023.0,313,470,78,1974,717,519,4167,1348,359,334,191,91,36,4.0,434,78,1075,369,234,2411,2030,29.4,89,427,22,181,25,304,211,258,122,9607192.0
2805,573,1899,835,3352,151,219,375.0,8,1416,2.76,1220,196,2006,548,106,67399.0,90588.0,19942.0,18023.0,313,470,78,1974,717,519,4167,1348,359,334,191,91,36,4.0,434,78,1075,369,234,2411,2030,29.4,89,427,22,181,25,304,211,258,122,9607192.0
5203,768,4119,48,7355,566,362,954.0,25,1998,2.18,870,1086,4477,717,371,75572.0,82171.0,81442.0,45439.0,667,551,166,4444,2475,1117,5971,5734,1836,239,132,60,0,2.8,357,166,2019,560,389,4203,3284,30.3,54,104,111,199,0,925,429,253,30,11790208.0
2718,355,1608,45,3209,471,28,1201.0,0,785,2.26,389,310,2589,704,231,93017.0,81429.0,70083.0,55704.0,484,489,215,2535,1460,446,2872,2537,697,221,134,15,26,2.9,295,215,1013,565,303,1623,1632,38.3,0,46,84,257,0,620,195,110,72,20831517.0
3273,453,1860,58,3660,365,0,1326.0,0,797,2.22,840,665,2352,1303,185,177589.0,80705.0,160051.0,81450.0,322,817,486,2352,1458,389,3232,3079,870,235,233,88,113,3.2,648,486,841,475,279,1932,1872,48.9,32,0,374,248,19,184,246,291,59,39036272.0
2544,349,1768,36,2891,114,0,1201.0,65,1026,2.2,753,696,1878,1420,149,230101.0,92107.0,244141.0,75100.0,242,726,694,1862,1287,384,2623,2718,554,424,272,138,150,4.2,460,694,506,178,241,1815,1190,57.2,32,92,392,247,13,634,275,0,0,39152629.0
2544,349,1768,36,2891,114,0,1201.0,65,1026,2.2,753,696,1878,1420,149,230101.0,92107.0,244141.0,75100.0,242,726,694,1862,1287,384,2623,2718,554,424,272,138,150,4.2,460,694,506,178,241,1815,1190,57.2,32,92,392,247,13,634,275,0,0,39152629.0
4623,574,2782,95,5002,279,0,1188.0,29,1066,2.32,1190,1186,3480,2365,265,189684.0,109836.0,209196.0,94500.0,481,1414,951,3420,2109,739,4484,4569,957,497,507,212,112,3.7,1030,893,690,858,376,2894,2335,55.0,44,0,534,472,49,536,1203,231,24,81238747.0
2058,153,1151,68,2266,207,29,1186.0,28,325,2.12,539,446,1475,848,132,178515.0,115500.0,184250.0,79276.0,264,513,335,1438,903,245,1658,1828,395,226,124,43,0,3.4,389,335,384,144,288,1198,1183,57.5,0,0,222,126,0,400,169,0,13,27583117.0
